gameId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite
618893,Ico,Ico,2001,8.27164,751,2013-07-24,9,nie
612919,Brütal Legend,Brütal Legend,2009,7.37184,1541,2013-06-23,8,nie
612623,Prototype 2,Prototype 2,2012,7.24981,2626,2013-05-17,7,nie
612896,Tomb Raider,Tomb Raider,2013,8.15179,27598,2013-03-23,9,nie
617923,Hitman: Rozgrzeszenie,Hitman: Absolution,2012,7.75648,6940,2013-02-02,7,nie
631588,The Walking Dead: Season One,The Walking Dead: Season One,2012,8.77506,20343,2012-12-14,9,tak
605868,God of War III,God of War III,2010,8.49303,10687,2012-12-14,9,nie
633412,Medal of Honor Warfighter,Medal of Honor Warfighter,2012,6.68891,2713,2012-12-13,2,nie
628169,Dishonored,Dishonored,2012,8.03802,9285,2012-12-08,8,nie
719286,Plague Inc.,Plague Inc.,2012,7.09009,444,2012-12-07,,nie
623759,Hard Reset,Hard Reset,2011,6.02516,477,2012-12-07,8,nie
620533,Far Cry 3,Far Cry 3,2012,8.33871,23758,2012-12-03,7,nie
609642,Uncharted 3: Oszustwo Drake'a,Uncharted 3: Drake's Deception,2011,8.40197,15904,2012-12-02,9,nie
612830,FIFA 12,FIFA 12,2011,7.6592,6341,2012-12-02,,nie
608029,FIFA 11,FIFA 11,2010,7.59657,6006,2012-12-02,,nie
716847,Alan Wake: Pisarz,Alan Wake: The Writer,2010,7.11268,497,2012-11-29,,nie
716839,Alan Wake: Sygnał,Alan Wake: The Signal,2010,6.88668,503,2012-11-26,,nie
608734,Spore,Spore,2008,6.83504,5080,2012-11-22,8,nie
608435,Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,2002,8.40302,38400,2012-11-22,8,nie
612424,Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3,2011,7.60335,10203,2012-11-22,6,nie
608104,Homefront,Homefront,2011,5.69386,1532,2012-11-22,6,nie
608122,Colin McRae: DiRT 2,Colin McRae: DiRT 2,2009,7.5947,2529,2012-11-22,8,nie
611665,Race Driver: GRID,Race Driver: GRID,2008,7.93364,2622,2012-11-22,9,nie
611229,Dark Sector,Dark Sector,2008,6.38966,716,2012-11-22,7,nie
611190,Battlefield 1942,Battlefield 1942,2002,7.72872,2444,2012-11-22,8,nie
611139,Battlefield 2,Battlefield 2,2005,7.8855,3118,2012-11-22,9,nie
611192,Battlefield 2142,Battlefield 2142,2006,6.84418,584,2012-11-22,5,nie
608445,Need for Speed Most Wanted,Need for Speed Most Wanted,2005,8.27376,27250,2012-11-22,9,nie
608603,Need for Speed: Carbon,Need for Speed: Carbon,2006,7.21366,13250,2012-11-22,8,nie
609736,Need for Speed: Undercover,Need for Speed: Undercover,2008,6.36201,6486,2012-11-22,2,nie
607549,Heavy Rain,Heavy Rain,2010,8.41592,17953,2012-11-22,9,tak
650339,FIFA 13,FIFA 13,2012,7.8876,7322,2012-11-10,,nie
611072,Battlefield 3,Battlefield 3,2011,7.95704,16412,2012-11-09,9,nie
611122,Mass Effect 3,Mass Effect 3,2012,8.52405,16151,2012-10-17,,nie
611108,Kane & Lynch: Dead Men,Kane & Lynch: Dead Men,2007,6.92058,2128,2012-09-25,6,nie
608009,Civilization V,Civilization V,2010,8.2129,5782,2012-09-16,8,nie
608441,Half-Life 2: Episode Two,Half-Life 2: Episode Two,2007,8.45182,5303,2012-09-03,9,nie
608440,Half-Life 2: Episode One,Half-Life 2: Episode One,2006,8.12782,3857,2012-09-03,7,nie
615292,Osmos,Osmos,2009,6.83133,166,2012-08-27,,nie
608598,Team Fortress 2,Team Fortress 2,2007,7.68857,4977,2012-08-11,8,nie
608439,Half-Life 2,Half-Life 2,2004,8.56896,13574,2012-08-11,10,nie
608438,Half-Life,Half-Life,1998,8.45237,10593,2012-08-11,10,nie
608444,Heroes of Might and Magic III: Cień Śmierci,Heroes of Might and Magic III: The Shadow of Death,2000,9.1698,21885,2012-08-11,10,nie
608109,Wiedźmin 2: Zabójcy królów,Wiedźmin 2: Zabójcy królów,2011,8.59398,39646,2012-07-18,9,nie
615645,Spec Ops: The Line,Spec Ops: The Line,2012,7.66935,3357,2012-07-15,8,tak
612757,Wolfenstein,Wolfenstein,2009,7.04272,2879,2012-07-15,7,nie
611175,Left 4 Dead 2,Left 4 Dead 2,2009,7.71111,6615,2012-07-15,8,nie
612054,Frontlines: Fuel of War,Frontlines: Fuel of War,2008,6.27753,227,2012-07-15,7,nie
611395,Max Payne 3,Max Payne 3,2012,8.03389,9795,2012-07-03,9,nie
622913,Tekken 3,Tekken 3,1997,8.36403,11411,2012-07-03,10,tak
611176,Portal 2,Portal 2,2011,8.56295,14701,2012-07-01,9,nie
608591,Portal,Portal,2007,8.22518,13496,2012-07-01,9,nie
613821,Deluxe Ski Jump 4,Deluxe Ski Jump 4,2012,7.28344,815,2012-06-24,,nie
611356,Duke Nukem Forever,Duke Nukem Forever,2011,5.13713,2144,2012-06-24,4,nie
613870,Red Faction,Red Faction,2001,7.37305,1796,2012-06-18,8,nie
611075,Medal of Honor,Medal of Honor,2010,6.91565,5880,2012-06-18,7,nie
624890,Tom Clancy's EndWar,Tom Clancy's EndWar,2008,6.11921,151,2012-06-18,7,nie
612852,Red Faction Guerrilla,Red Faction Guerrilla,2009,6.7369,916,2012-06-18,7,nie
611264,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,2011,8.55297,34235,2012-05-06,9,nie
617374,Assassin's Creed: Revelations,Assassin's Creed: Revelations,2011,7.93045,16074,2012-04-30,9,nie
606063,Alan Wake,Alan Wake,2010,7.66349,8826,2012-03-09,9,nie
613570,Trine 2,Trine 2,2011,7.72606,1942,2012-03-09,8,nie
613317,Trine,Trine,2009,7.45777,2285,2012-03-09,8,nie
612918,Singularity,Singularity,2010,7.26385,1209,2012-03-09,8,nie
608587,Crysis 2,Crysis 2,2011,7.56918,8572,2012-03-01,7,nie
613178,F.E.A.R.: Perseus Mandate,F.E.A.R.: Perseus Mandate,2007,7.19776,981,2012-02-11,6,nie
608446,Grand Theft Auto III,Grand Theft Auto III,2001,7.72686,17156,2012-02-10,10,nie
608586,Crysis,Crysis,2007,7.66684,9485,2012-02-10,9,tak
608432,Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare,2007,8.36161,25337,2012-02-10,10,nie
