Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
47700,Black Orchid,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0930289552""","=""9780930289553""",3,DC Comics,Paperback,160,1991,1989,2024/08/20,2024/08/13,,,read,Beautiful artworks but the story is a good fair bit lackluster,,,1,0
57282259,"Goodnight Punpun, Vol. 13 (Goodnight Punpun, #13)",Inio Asano,"Asano, Inio",,"=""""","=""""",4,,ebook,272,,2013,,2024/08/07,,,read,,,,2,0
35119553,Czerwony Kapturek,Jacob Grimm,"Grimm, Jacob",Wilhelm Grimm,"=""8362737778""","=""9788362737772""",0,Tako,Hardcover,64,2015,1968,2007/01/01,2020/06/11,,,read,,,,1,0
57282209,"Goodnight Punpun, Vol. 12 (Goodnight Punpun, #12)",Inio Asano,"Asano, Inio",,"=""""","=""""",5,,ebook,256,,2013,2024/08/07,2024/08/05,,,read,,,,1,0
57282111,"Goodnight Punpun, Vol. 11 (Goodnight Punpun, #11)",Inio Asano,"Asano, Inio",,"=""""","=""""",4,,ebook,224,,2012,2024/07/28,2024/07/28,,,read,,,,1,0
160014,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",4,Flamingo,Paperback,172,1993,1953,2018/10/23,2018/10/23,,,read,,,,1,0
57282096,"Goodnight Punpun, Vol. 10 (Goodnight Punpun, #10)",Inio Asano,"Asano, Inio",,"=""""","=""""",4,,ebook,224,,2012,2024/07/25,2024/07/25,,,read,,,,1,0
57282055,"Goodnight Punpun, Vol. 8 (Goodnight Punpun, #8)",Inio Asano,"Asano, Inio",,"=""""","=""""",4,,ebook,224,,2011,2024/07/22,2024/07/22,,,read,,,,1,0
32918991,"Goodnight Punpun Omnibus, Vol. 7",Inio Asano,"Asano, Inio",,"=""1421586266""","=""9781421586267""",5,VIZ Media LLC,Paperback,272,2017,2017,2024/07/21,2024/07/21,,,read,,,,1,0
32918990,"Goodnight Punpun Omnibus, Vol. 6",Inio Asano,"Asano, Inio",,"=""1421586258""","=""9781421586250""",3,VIZ Media LLC,Paperback,456,2017,2017,2024/07/14,2024/07/14,,,read,,,,1,0
31140470,"Goodnight Punpun Omnibus, Vol. 5",Inio Asano,"Asano, Inio",,"=""142158624X""","=""9781421586243""",4,VIZ Media LLC,Paperback,448,2017,2009,2024/07/08,2024/07/08,,,read,,,,1,0
57282078,"Goodnight Punpun, Vol. 9 (Goodnight Punpun, #9)",Inio Asano,"Asano, Inio",,"=""""","=""""",4,,ebook,224,,2011,2024/07/25,2024/07/23,,,read,,,,1,0
2359419,Dzieci z Bullerbyn (Dzieci z Bullerbyn #1-3),Astrid Lindgren,"Lindgren, Astrid","Hanna Czajkowska, Irena Szuch-Wyszomirska","=""8310109806""","=""9788310109804""",0,Nasza Księgarnia,Hardcover,390,2001,1947,2006/07/14,2020/08/10,,,read,,,,1,0
32203104,ファイアパンチ 3 [Fire Punch 3],Tatsuki Fujimoto,"Fujimoto, Tatsuki",藤本タツキ,"=""4088808738""","=""9784088808734""",0,集英社,Paperback,208,2016,2016,,2024/07/08,to-read,to-read (#18),to-read,,,,0,0
47720,The Sandman: Endless Nights,Neil Gaiman,"Gaiman, Neil","P. Craig Russell, Bill Sienkiewicz, Milo Manara, Miguelanxo Prado, Barron Storey, Glenn Fabry, Frank Quitely, Dave McKean","=""140120113X""","=""9781401201135""",0,Vertigo,Paperback,160,2004,2003,,2023/11/05,to-read,to-read (#17),to-read,,,,0,0
102324,"Swamp Thing, Vol. 1: Saga of the Swamp Thing",Alan Moore,"Moore, Alan","Stephen R. Bissette, John Totleben","=""0930289226""","=""9780930289225""",0,"DC Comics, Inc.",Paperback,173,1987,1983,,2023/11/05,to-read,to-read (#16),to-read,,,,0,0
